date,day,elapsed_seconds,solved,checked,revealed,streak_eligible
2014-01-01,Wed,0,0,0,0,0
2014-01-02,Thu,0,0,0,0,0
2014-01-03,Fri,0,0,0,0,0
2014-01-04,Sat,0,0,0,0,0
2014-01-05,Sun,0,0,0,0,0
2014-01-06,Mon,610,1,0,0,0
2014-01-07,Tue,907,1,1,0,0
2014-01-08,Wed,0,0,0,0,0
2014-01-09,Thu,0,0,0,0,0
2014-01-10,Fri,0,0,0,0,0
2014-01-11,Sat,0,0,0,0,0
2014-01-12,Sun,0,0,0,0,0
2014-01-13,Mon,500,1,0,0,0
2014-01-14,Tue,987,1,1,0,0
2014-01-15,Wed,0,0,0,0,0
2014-01-16,Thu,0,0,0,0,0
2014-01-17,Fri,0,0,0,0,0
2014-01-18,Sat,0,0,0,0,0
2014-01-19,Sun,0,0,0,0,0
2014-01-20,Mon,682,1,1,0,0
2014-01-21,Tue,0,0,0,0,0
2014-01-22,Wed,0,0,0,0,0
2014-01-23,Thu,0,0,0,0,0
2014-01-24,Fri,0,0,0,0,0
2014-01-25,Sat,0,0,0,0,0
2014-01-26,Sun,0,0,0,0,0
2014-01-27,Mon,475,1,0,0,0
2014-01-28,Tue,0,0,0,0,0
2014-01-29,Wed,0,0,0,0,0
2014-01-30,Thu,0,0,0,0,0
2014-01-31,Fri,0,0,0,0,0
2014-02-01,Sat,0,0,0,0,0
2014-02-02,Sun,0,0,0,0,0
2014-02-03,Mon,473,1,1,0,0
2014-02-04,Tue,1181,1,1,0,0
2014-02-05,Wed,810,1,1,0,0
2014-02-06,Thu,0,0,0,0,0
2014-02-07,Fri,0,0,0,0,0
2014-02-08,Sat,0,0,0,0,0
2014-02-09,Sun,0,0,0,0,0
2014-02-10,Mon,597,1,0,0,0
2014-02-11,Tue,616,1,1,0,0
2014-02-12,Wed,0,0,0,0,0
2014-02-13,Thu,0,0,0,0,0
2014-02-14,Fri,0,0,0,0,0
2014-02-15,Sat,0,0,0,0,0
2014-02-16,Sun,0,0,0,0,0
2014-02-17,Mon,381,1,0,0,0
2014-02-18,Tue,961,1,1,0,0
2014-02-19,Wed,0,0,0,0,0
2014-02-20,Thu,0,0,0,0,0
2014-02-21,Fri,0,0,0,0,0
2014-02-22,Sat,0,0,0,0,0
2014-02-23,Sun,0,0,0,0,0
2014-02-24,Mon,499,1,0,0,0
2014-02-25,Tue,589,1,1,0,0
2014-02-26,Wed,0,0,0,0,0
2014-02-27,Thu,0,0,0,0,0
2014-02-28,Fri,0,0,0,0,0
2014-03-01,Sat,0,0,0,0,0
2014-03-02,Sun,0,0,0,0,0
2014-03-03,Mon,372,1,0,0,0
2014-03-04,Tue,656,1,1,0,0
2014-03-05,Wed,428,0,0,0,0
2014-03-06,Thu,0,0,0,0,0
2014-03-07,Fri,0,0,0,0,0
2014-03-08,Sat,0,0,0,0,0
2014-03-09,Sun,0,0,0,0,0
2014-03-10,Mon,473,1,0,0,0
2014-03-11,Tue,560,1,0,0,0
2014-03-12,Wed,776,1,1,0,0
2014-03-13,Thu,0,0,0,0,0
2014-03-14,Fri,0,0,0,0,0
2014-03-15,Sat,0,0,0,0,0
2014-03-16,Sun,0,0,0,0,0
2014-03-17,Mon,572,1,0,0,0
2014-03-18,Tue,1221,1,1,0,0
2014-03-19,Wed,0,0,0,0,0
2014-03-20,Thu,0,0,0,0,0
2014-03-21,Fri,0,0,0,0,0
2014-03-22,Sat,0,0,0,0,0
2014-03-23,Sun,0,0,0,0,0
2014-03-24,Mon,416,1,0,0,0
2014-03-25,Tue,990,1,0,0,0
